ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
590,Wanda Espinoza,Malaysia,1,All In World,Flag,Dragon-Fruit,Time For Endless Adventures,Foam-Hand,Fried-Silk-Worm
347,Ellen Benson,Belgium,49,Stay,Shirts,HotDog,Time For Endless Adventures,Baja,Murgh-Pulao
65,Ammar Richard,Yemen,50,Boisterous Throwback,Baja,Fish,Stay,Foam-Hand,Fried-Silk-Worm
211,Shauna Castro,China,51,Time For Endless Adventures,Flag,Biryani,All In World,View,Biryani
641,Kirsten Shepherd,Bangladesh,55,All In World,View,Fish,The Time Has Come Again For Disco,Seats,Biryani
124,Jamil Delgado,Cambodia,63,The Time Has Come Again For Disco,Flag,HotDog,Tum Jeeto Ya Haro,Foam-Hand,Fish
493,Shirley Golden,Senegal,66,Boisterous Throwback,Seats,Kofta-Kabab,Time For Endless Adventures,Shirts,Kofta-Kabab
732,Athena Byrd,Sweden,73,Kala Jora,Baja,Kofta-Kabab,All In World,Face Painting,Kofta-Kabab
720,Amirah Gibbons,Vatican City,83,The Time Has Come Again For Disco,Foam-Hand,Murgh-Pulao,Boisterous Throwback,Foam-Hand,Kofta-Kabab
363,Velma Pratt,Ukraine,91,Kala Jora,Face Painting,Biryani,Kala Jora,Baja,Fried-Silk-Worm
258,Allen Beck,Kyrgyzstan,94,Kala Jora,Seats,Fried-Silk-Worm,The Time Has Come Again For Disco,Face Painting,Kofta-Kabab
422,Emily Wade,Hungary,95,The Time Has Come Again For Disco,Baja,Biryani,The Time Has Come Again For Disco,View,Biryani
602,Muhammad Bilal,Namibia,105,The Time Has Come Again For Disco,Seats,Passion-Fruit,Stay,Shirts,Fried-Silk-Worm
340,Roger Gonzalez,Vatican City,107,Stay,Foam-Hand,HotDog,Kala Jora,View,Kofta-Kabab
647,Lorna Schultz,Egypt,126,Stay,Face Painting,Murgh-Pulao,Tum Jeeto Ya Haro,View,Passion-Fruit
733,Stacey Graham,Zambia,132,Kala Jora,Shirts,Fish,All In World,Baja,Murgh-Pulao
549,Leanne Morrison,Botswana,148,Kala Jora,Face Painting,Shirako,The Time Has Come Again For Disco,Shirts,Fish
175,Scarlet Cain,Belarus,153,Time For Endless Adventures,Shirts,Shirako,Stay,Flag,Kofta-Kabab
256,Bridie Wong,Qatar,193,All In World,Baja,Kofta-Kabab,Kala Jora,View,Dragon-Fruit
569,Hermione Higgins,Japan,194,Kala Jora,Foam-Hand,Kofta-Kabab,Stay,Flag,Passion-Fruit
427,Rafferty Walton,Kuwait,196,Tum Jeeto Ya Haro,Face Painting,HotDog,Time For Endless Adventures,Flag,Passion-Fruit
328,Minnie Randall,Jordan,197,All In World,Foam-Hand,Shirako,All In World,Baja,Fish
39,Orlando Dalton,Palau,203,Boisterous Throwback,Shirts,Murgh-Pulao,Tum Jeeto Ya Haro,Baja,Shirako
411,Saira Harrison,South Africa,233,Boisterous Throwback,View,Biryani,Boisterous Throwback,Flag,Shirako
118,Kelvin Wilkinson,Namibia,242,Stay,Shirts,HotDog,All In World,Seats,Kofta-Kabab
562,Jamal Casey,Morocco,243,All In World,Flag,Fried-Silk-Worm,Boisterous Throwback,Seats,Biryani
72,Qasim Gallagher,Philippines,245,Time For Endless Adventures,Flag,Kofta-Kabab,Tum Jeeto Ya Haro,Baja,Fried-Silk-Worm
640,Tyrell Jackson,Peru,250,Kala Jora,Flag,Passion-Fruit,Tum Jeeto Ya Haro,Seats,Fried-Silk-Worm
177,Nikita Cohen,Cyprus,253,Boisterous Throwback,Face Painting,Kofta-Kabab,The Time Has Come Again For Disco,Seats,Fried-Silk-Worm
313,Josef Abbott,Serbia,259,Tum Jeeto Ya Haro,Flag,Fish,Boisterous Throwback,Face Painting,Dragon-Fruit
722,Jasper Keith,Bangladesh,264,Tum Jeeto Ya Haro,Flag,Shirako,Kala Jora,View,Kofta-Kabab
638,Anastasia Lane,Ukraine,274,Stay,View,Murgh-Pulao,The Time Has Come Again For Disco,Baja,Biryani
700,Nathan Kaufman,Nigeria,287,Kala Jora,Shirts,Kofta-Kabab,Tum Jeeto Ya Haro,Shirts,Dragon-Fruit
383,Imogen Bright,Marshall Islands,291,Kala Jora,Flag,Passion-Fruit,Boisterous Throwback,Shirts,HotDog
209,Krishan Salazar,Eritrea,292,Stay,View,HotDog,Boisterous Throwback,Flag,Murgh-Pulao
750,Bailey Lee,Jamaica,306,All In World,Baja,Shirako,Stay,View,Kofta-Kabab
444,Jesse Cummings,Uzbekistan,315,Tum Jeeto Ya Haro,View,Murgh-Pulao,Kala Jora,View,Passion-Fruit
356,Maximilian Holloway,Nauru,316,Boisterous Throwback,Baja,Passion-Fruit,Stay,Foam-Hand,Murgh-Pulao
541,Nicolas Caldwell,Sao Tome & Principe,321,Time For Endless Adventures,Seats,HotDog,Stay,Shirts,Kofta-Kabab
32,Clifford Morse,Bosnia Herzegovina,329,All In World,Foam-Hand,Murgh-Pulao,The Time Has Come Again For Disco,Seats,Biryani
13,Jay Bird,Costa Rica,336,The Time Has Come Again For Disco,Shirts,Passion-Fruit,All In World,View,Murgh-Pulao
1,Hallie Mitchell,Iran,343,Boisterous Throwback,Baja,Murgh-Pulao,Time For Endless Adventures,Shirts,Fish
526,Cade Tapia,Albania,369,All In World,Baja,HotDog,Kala Jora,Flag,Biryani
469,Flora Cooke,Venezuela,371,Tum Jeeto Ya Haro,Baja,Shirako,Kala Jora,Face Painting,Fish
188,Victor Pugh,Central African Rep,375,Boisterous Throwback,Baja,HotDog,Tum Jeeto Ya Haro,Seats,Kofta-Kabab
78,Inaaya Merritt,Swaziland,377,Boisterous Throwback,Foam-Hand,Fish,Tum Jeeto Ya Haro,Foam-Hand,HotDog
265,Ray Kane,Canada,410,The Time Has Come Again For Disco,Foam-Hand,Fish,Time For Endless Adventures,Foam-Hand,Kofta-Kabab
330,Maria Morgan,Dominica,419,Kala Jora,Shirts,Shirako,All In World,Foam-Hand,HotDog
631,Gerard Reed,Turkmenistan,424,Time For Endless Adventures,Baja,Passion-Fruit,The Time Has Come Again For Disco,Flag,Shirako
608,Laura Rubio,Cyprus,425,Time For Endless Adventures,Shirts,HotDog,All In World,Shirts,Biryani
574,Shannon Villarreal,Guinea-Bissau,426,All In World,Foam-Hand,Murgh-Pulao,Boisterous Throwback,Shirts,Shirako
511,Bryn Burnett,Vatican City,434,Kala Jora,Baja,Shirako,Stay,Foam-Hand,Biryani
110,Maya Norman,Seychelles,438,Tum Jeeto Ya Haro,View,Shirako,Tum Jeeto Ya Haro,Foam-Hand,HotDog
687,Zaina Koch,Kyrgyzstan,446,The Time Has Come Again For Disco,Flag,Passion-Fruit,Time For Endless Adventures,Seats,HotDog
246,Josh Burgess,Morocco,454,Stay,Seats,Fried-Silk-Worm,Time For Endless Adventures,Shirts,Kofta-Kabab
482,Leonie Hicks,Norway,458,Boisterous Throwback,Seats,Passion-Fruit,Time For Endless Adventures,Flag,Shirako
35,Eric Pearson,Palestine,467,Boisterous Throwback,Face Painting,Kofta-Kabab,All In World,Baja,Dragon-Fruit
656,Cruz Barnett,Vatican City,475,Time For Endless Adventures,Foam-Hand,Kofta-Kabab,All In World,View,HotDog
263,Aamir Cole,Vietnam,485,Tum Jeeto Ya Haro,Flag,Shirako,Time For Endless Adventures,View,Dragon-Fruit
570,Roy Dean,Madagascar,489,Stay,Foam-Hand,Fried-Silk-Worm,The Time Has Come Again For Disco,Foam-Hand,Shirako
694,Alyssa Clements,Chad,500,Boisterous Throwback,Flag,HotDog,All In World,View,Dragon-Fruit
314,Nora Gutierrez,Vanuatu,523,The Time Has Come Again For Disco,Flag,Dragon-Fruit,Tum Jeeto Ya Haro,Seats,Biryani
392,Ashley Carey,Uruguay,527,Kala Jora,Shirts,Murgh-Pulao,Time For Endless Adventures,Flag,Fried-Silk-Worm
613,Alastair Burke,Palau,532,All In World,Shirts,Fried-Silk-Worm,Time For Endless Adventures,Foam-Hand,Passion-Fruit
745,Arman Gregory,Kuwait,548,The Time Has Come Again For Disco,View,Murgh-Pulao,Kala Jora,Shirts,Dragon-Fruit
746,Nina Hunter,Chile,560,Time For Endless Adventures,Baja,Biryani,Tum Jeeto Ya Haro,Foam-Hand,Shirako
534,Wesley Estrada,Monaco,583,All In World,Seats,Passion-Fruit,Boisterous Throwback,Flag,HotDog
393,Sumayyah Townsend,Kenya,585,The Time Has Come Again For Disco,Flag,Murgh-Pulao,The Time Has Come Again For Disco,Baja,Fried-Silk-Worm
580,Alison Stephens,Romania,586,All In World,Baja,HotDog,Boisterous Throwback,Foam-Hand,HotDog
486,Kristina Kirby,St Kitts & Nevis,589,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab,Time For Endless Adventures,Foam-Hand,Passion-Fruit
550,Finnley Peck,Uruguay,594,Boisterous Throwback,Baja,Passion-Fruit,The Time Has Come Again For Disco,Baja,Kofta-Kabab
80,Charles Paul,Senegal,597,Boisterous Throwback,Seats,Passion-Fruit,Time For Endless Adventures,Flag,Fish
14,Ariana Salas,Australia,598,The Time Has Come Again For Disco,Seats,Passion-Fruit,Stay,View,Fried-Silk-Worm
525,Cormac Ortega,Armenia,603,Tum Jeeto Ya Haro,Shirts,Biryani,Stay,Foam-Hand,Fried-Silk-Worm
684,Ela Mclaughlin,Uruguay,608,Time For Endless Adventures,Baja,Kofta-Kabab,Time For Endless Adventures,Shirts,Passion-Fruit
747,Caiden Pollard,New Zealand,617,Boisterous Throwback,Shirts,Fish,Time For Endless Adventures,Baja,Murgh-Pulao
614,Anais Hampton,Tuvalu,630,The Time Has Come Again For Disco,Seats,Dragon-Fruit,Boisterous Throwback,View,Kofta-Kabab
436,Elisha Campos,Philippines,635,The Time Has Come Again For Disco,Flag,Kofta-Kabab,All In World,Face Painting,Kofta-Kabab
227,Ellis O'Brien,Nicaragua,636,The Time Has Come Again For Disco,Foam-Hand,Fried-Silk-Worm,Boisterous Throwback,Flag,Biryani
178,Oliwia Simmons,Czech Republic,646,Time For Endless Adventures,Seats,Biryani,Stay,Flag,Shirako
499,Donovan Bowers,United Kingdom,647,Boisterous Throwback,Face Painting,Biryani,Boisterous Throwback,Seats,Passion-Fruit
653,Erin Juarez,Yemen,652,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao,The Time Has Come Again For Disco,Face Painting,Fish
404,Aqsa Sutton,Guatemala,664,The Time Has Come Again For Disco,Flag,Fish,Time For Endless Adventures,Flag,Shirako
200,Keiran Haines,Cuba,672,Kala Jora,Foam-Hand,Passion-Fruit,Kala Jora,Seats,HotDog
473,Amelia Koch,Maldives,679,The Time Has Come Again For Disco,View,Fish,Boisterous Throwback,Face Painting,Kofta-Kabab
535,Edith Finch,Azerbaijan,680,Boisterous Throwback,Baja,Murgh-Pulao,Tum Jeeto Ya Haro,Seats,Dragon-Fruit
331,Maksymilian Lloyd,Portugal,684,Time For Endless Adventures,Face Painting,Passion-Fruit,Stay,Seats,Passion-Fruit
628,Kelsie Price,Monaco,687,Stay,Baja,Fish,Boisterous Throwback,Shirts,Shirako
572,Lennox Woodard,Jordan,689,Tum Jeeto Ya Haro,Flag,Fried-Silk-Worm,All In World,Foam-Hand,Shirako
214,Lyla Petty,Central African Rep,694,Boisterous Throwback,Face Painting,Shirako,Tum Jeeto Ya Haro,Foam-Hand,Kofta-Kabab
36,Albie Owens,Fiji,703,Boisterous Throwback,View,Kofta-Kabab,Time For Endless Adventures,Seats,Fried-Silk-Worm
