ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
268,Sophia Duncan,Saudi Arabia,0,All In World,Seats,Shirako,All In World,View,Fish
1445,Joan Castro,Azerbaijan,1,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab,Boisterous Throwback,Face Painting,Shirako
1264,Nabil Massey,Jamaica,2,All In World,Flag,Passion-Fruit,Time For Endless Adventures,Flag,Murgh-Pulao
1149,Robbie Salinas,Korea South,3,Boisterous Throwback,Foam-Hand,Fried-Silk-Worm,Kala Jora,Flag,Fish
279,Elin Bruce,Zimbabwe,4,All In World,Face Painting,Fried-Silk-Worm,All In World,Foam-Hand,Fried-Silk-Worm
733,Craig Vazquez,Kyrgyzstan,6,The Time Has Come Again For Disco,Baja,Murgh-Pulao,Time For Endless Adventures,Shirts,Murgh-Pulao
917,Carla Best,Dominican Republic,8,Stay,Baja,Murgh-Pulao,Tum Jeeto Ya Haro,Baja,Fried-Silk-Worm
82,Abi Villegas,Oman,9,Tum Jeeto Ya Haro,Seats,Biryani,Time For Endless Adventures,Foam-Hand,HotDog
1418,Christopher Cantu,Senegal,10,Stay,Shirts,HotDog,Boisterous Throwback,Baja,Kofta-Kabab
491,Rhiannon Mckinney,Madagascar,11,The Time Has Come Again For Disco,Face Painting,Kofta-Kabab,Kala Jora,Foam-Hand,Fried-Silk-Worm
1465,Heath Barker,Myanmar,12,Time For Endless Adventures,Face Painting,Murgh-Pulao,Tum Jeeto Ya Haro,Baja,Fish
945,Honor House,Libya,13,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao,Time For Endless Adventures,Baja,Fish
1257,Muhammed Price,Antigua & Deps,14,Kala Jora,View,Murgh-Pulao,The Time Has Come Again For Disco,Flag,HotDog
1340,Hasnain Rodgers,Guatemala,15,Stay,Face Painting,Shirako,Kala Jora,View,Shirako
1213,Angelo Mora,Mongolia,16,Tum Jeeto Ya Haro,View,HotDog,All In World,View,Fried-Silk-Worm
1307,Polly Cox,Lesotho,17,Stay,Foam-Hand,Fish,All In World,Shirts,HotDog
1249,Taylor Calderon,Barbados,18,All In World,View,Fried-Silk-Worm,The Time Has Come Again For Disco,Seats,Dragon-Fruit
1278,Kelsie Rocha,Chad,20,All In World,Seats,Fish,Boisterous Throwback,View,Passion-Fruit
1298,Faris Christian,Somalia,21,Boisterous Throwback,Flag,Murgh-Pulao,Stay,Face Painting,Biryani
1222,Vera Herrera,Netherlands,22,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab,Tum Jeeto Ya Haro,View,Passion-Fruit
1106,Patrick Stafford,Ukraine,23,Kala Jora,Face Painting,Murgh-Pulao,Boisterous Throwback,Shirts,Shirako
601,Jaxon Arnold,Congo,24,Tum Jeeto Ya Haro,Flag,HotDog,Time For Endless Adventures,Baja,Dragon-Fruit
763,Matilda Woods,Romania,25,Time For Endless Adventures,Shirts,Fish,Boisterous Throwback,View,Fried-Silk-Worm
1051,Edwin Melton,Sudan,26,All In World,Foam-Hand,Shirako,All In World,Face Painting,Dragon-Fruit
344,Dewey Patton,Serbia,27,The Time Has Come Again For Disco,Face Painting,Kofta-Kabab,Time For Endless Adventures,Flag,Dragon-Fruit
1175,Janet Downs,Bosnia Herzegovina,29,Tum Jeeto Ya Haro,Baja,Kofta-Kabab,Stay,Foam-Hand,Shirako
1388,Aminah Matthews,Qatar,31,All In World,Seats,Dragon-Fruit,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab
1358,Deanna Summers,Albania,32,Boisterous Throwback,Flag,Biryani,Tum Jeeto Ya Haro,Shirts,HotDog
1382,Lyndon Hayden,Guinea,35,All In World,Shirts,Murgh-Pulao,All In World,View,Fish
467,Lily-Mae Beck,Bahrain,36,Stay,Seats,Dragon-Fruit,Tum Jeeto Ya Haro,View,Dragon-Fruit
1302,Pauline Acevedo,Madagascar,37,Kala Jora,Seats,Murgh-Pulao,Kala Jora,Shirts,Shirako
1141,Celia Blackwell,Vatican City,38,Boisterous Throwback,Flag,Fried-Silk-Worm,Kala Jora,Flag,Murgh-Pulao
646,Rabia Wu,Dominica,40,All In World,Flag,HotDog,Stay,Baja,Passion-Fruit
825,Abraham Dunn,St Lucia,42,Tum Jeeto Ya Haro,Seats,Fried-Silk-Worm,Tum Jeeto Ya Haro,Baja,Shirako
902,Diana Hansen,Kosovo,44,The Time Has Come Again For Disco,Flag,Fried-Silk-Worm,Tum Jeeto Ya Haro,Foam-Hand,Kofta-Kabab
1077,Casey Park,Mauritius,45,All In World,Flag,Kofta-Kabab,The Time Has Come Again For Disco,Shirts,Fish
45,Jamil Lynn,Tuvalu,47,The Time Has Come Again For Disco,Shirts,Fish,Tum Jeeto Ya Haro,Flag,Shirako
486,Connie Medina,Sweden,48,Tum Jeeto Ya Haro,Shirts,Passion-Fruit,The Time Has Come Again For Disco,Flag,Fried-Silk-Worm
610,Rohan Duran,Armenia,49,Stay,View,Fried-Silk-Worm,Boisterous Throwback,Flag,Murgh-Pulao
1400,Fynn Ward,Tajikistan,50,Tum Jeeto Ya Haro,Flag,Dragon-Fruit,Stay,Flag,Fish
260,Meghan Mcknight,Iraq,51,The Time Has Come Again For Disco,Seats,Shirako,Stay,Foam-Hand,Fried-Silk-Worm
1229,Marie Mcleod,New Zealand,52,The Time Has Come Again For Disco,Seats,Fish,Tum Jeeto Ya Haro,Shirts,Fried-Silk-Worm
1056,Roy Gill,Ireland {Republic},54,The Time Has Come Again For Disco,Seats,HotDog,Boisterous Throwback,Foam-Hand,Fish
913,Mohsin Sanford,Azerbaijan,56,Boisterous Throwback,Baja,HotDog,Tum Jeeto Ya Haro,Seats,Fried-Silk-Worm
1216,George Oneill,Iran,57,Kala Jora,View,Passion-Fruit,Stay,Face Painting,Shirako
1211,Maddison Callahan,Italy,58,Stay,View,Passion-Fruit,Time For Endless Adventures,Foam-Hand,Kofta-Kabab
1064,Carlos Pineda,Indonesia,59,Tum Jeeto Ya Haro,View,Kofta-Kabab,Kala Jora,Baja,Biryani
1245,Donovan Mullins,Solomon Islands,60,Kala Jora,Seats,Shirako,Time For Endless Adventures,Shirts,Dragon-Fruit
1092,Aliyah Howe,Romania,63,Kala Jora,Flag,Fried-Silk-Worm,The Time Has Come Again For Disco,View,Kofta-Kabab
1179,Audrey Avila,Cuba,65,Boisterous Throwback,Face Painting,Shirako,Tum Jeeto Ya Haro,View,Fish
177,Alessia Fields,Uganda,66,Time For Endless Adventures,Face Painting,Fish,Boisterous Throwback,Foam-Hand,Murgh-Pulao
1019,Hana Tapia,Yemen,67,Time For Endless Adventures,Baja,Passion-Fruit,All In World,View,Dragon-Fruit
189,Ahmad Mcneil,Thailand,68,Kala Jora,Shirts,Dragon-Fruit,Time For Endless Adventures,Shirts,Kofta-Kabab
