ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
228,Greta Wade,Somalia,13,All In World,Flag,Kofta-Kabab,Kala Jora,View,Passion-Fruit
152,Dennis Nicholson,Morocco,120,The Time Has Come Again For Disco,Shirts,Dragon-Fruit,Time For Endless Adventures,Foam-Hand,Biryani
47,Savannah Davies,Tunisia,163,Time For Endless Adventures,Baja,Shirako,All In World,Face Painting,Fried-Silk-Worm
171,Arnold Snyder,Ethiopia,183,Boisterous Throwback,Foam-Hand,Biryani,Stay,Foam-Hand,Biryani
26,Heath Mack,Bahrain,215,The Time Has Come Again For Disco,Shirts,Fried-Silk-Worm,Stay,Foam-Hand,Shirako
123,Ayrton Love,El Salvador,248,Tum Jeeto Ya Haro,Foam-Hand,Shirako,Kala Jora,Shirts,Shirako
6,Madiha Meadows,Kuwait,278,Time For Endless Adventures,Shirts,Fried-Silk-Worm,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao
99,Joshua Willis,Guatemala,288,The Time Has Come Again For Disco,Foam-Hand,Fried-Silk-Worm,Kala Jora,Face Painting,Fish
16,Saarah Daniels,Swaziland,399,Stay,Flag,Fish,Boisterous Throwback,Seats,Passion-Fruit
150,Joao Vincent,Tanzania,415,Time For Endless Adventures,Baja,Murgh-Pulao,Tum Jeeto Ya Haro,Face Painting,Fried-Silk-Worm
184,Beau Mccormick,Nauru,424,Time For Endless Adventures,View,Murgh-Pulao,Time For Endless Adventures,Face Painting,Dragon-Fruit
1,Rihanna Rasmussen,Kiribati,477,Kala Jora,Shirts,Passion-Fruit,Tum Jeeto Ya Haro,Flag,Dragon-Fruit
11,Brendan Vang,Kenya,546,The Time Has Come Again For Disco,Foam-Hand,Fish,Time For Endless Adventures,Seats,Biryani
59,Andrew Ponce,Hungary,566,The Time Has Come Again For Disco,Foam-Hand,Fried-Silk-Worm,The Time Has Come Again For Disco,Baja,Passion-Fruit
172,Ida Bridges,Sudan,620,Tum Jeeto Ya Haro,Baja,Passion-Fruit,Kala Jora,Flag,Passion-Fruit
38,Charlie Horton,Tajikistan,645,Stay,Face Painting,Fried-Silk-Worm,The Time Has Come Again For Disco,Flag,Kofta-Kabab
229,Sydney Mckinney,Ethiopia,655,All In World,Baja,Biryani,Kala Jora,Seats,Murgh-Pulao
125,Teresa Lindsay,Myanmar,657,Stay,Foam-Hand,Fried-Silk-Worm,Time For Endless Adventures,Foam-Hand,Biryani
230,Lochlan Rowland,Haiti,663,Boisterous Throwback,Flag,Fried-Silk-Worm,All In World,Flag,Kofta-Kabab
205,Ty Burnett,Russian Federation,721,All In World,Face Painting,HotDog,The Time Has Come Again For Disco,Foam-Hand,Dragon-Fruit
118,Samantha Rush,Niger,737,Stay,Shirts,Murgh-Pulao,Stay,Foam-Hand,Murgh-Pulao
223,Hamish Freeman,Tajikistan,761,Stay,Baja,HotDog,Boisterous Throwback,Face Painting,Passion-Fruit
177,Axel Steele,Iraq,793,Tum Jeeto Ya Haro,Shirts,Dragon-Fruit,All In World,Face Painting,Passion-Fruit
218,Riya Davidson,Mongolia,799,Kala Jora,View,Shirako,Boisterous Throwback,Flag,Murgh-Pulao
116,Lester Butler,Chile,839,Boisterous Throwback,Seats,Shirako,Stay,Flag,Fried-Silk-Worm
161,Zarah Crosby,Kuwait,845,All In World,Flag,Murgh-Pulao,Kala Jora,Flag,Dragon-Fruit
111,Camilla Mcintosh,Iraq,878,Boisterous Throwback,View,HotDog,All In World,Foam-Hand,Murgh-Pulao
14,Mahnoor Church,Malaysia,883,Kala Jora,Shirts,Kofta-Kabab,Stay,Foam-Hand,Shirako
239,Lorraine James,Colombia,885,Kala Jora,Seats,Kofta-Kabab,Stay,Baja,Dragon-Fruit
157,Sachin Schultz,Samoa,925,Tum Jeeto Ya Haro,Foam-Hand,Shirako,Boisterous Throwback,Flag,Biryani
114,Tomos Alexander,Rwanda,1087,Time For Endless Adventures,Shirts,Dragon-Fruit,The Time Has Come Again For Disco,Flag,HotDog
186,Tristan Hartman,Hungary,1173,Kala Jora,Face Painting,Biryani,Boisterous Throwback,Flag,Dragon-Fruit
3,Jessica Vaughn,Saudi Arabia,1226,Time For Endless Adventures,Flag,Passion-Fruit,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao
32,Maggie Waters,Malaysia,1342,Time For Endless Adventures,Baja,Murgh-Pulao,All In World,Flag,Biryani
34,Dennis Bradshaw,Taiwan,1474,Kala Jora,View,Kofta-Kabab,Kala Jora,Foam-Hand,Fish
120,Tyrell Bonilla,Syria,1563,Time For Endless Adventures,Seats,Fish,All In World,Seats,Dragon-Fruit
126,Roxanne Hoover,Saudi Arabia,1564,Time For Endless Adventures,Flag,Dragon-Fruit,Stay,Foam-Hand,Shirako
133,Bethany Jordan,Madagascar,1578,The Time Has Come Again For Disco,Flag,Fish,Stay,Shirts,Biryani
231,Zaynab Macdonald,Belarus,1583,Stay,Baja,Biryani,All In World,Face Painting,Kofta-Kabab
121,Alyssa Reed,Austria,1602,Time For Endless Adventures,Baja,Kofta-Kabab,All In World,Seats,Passion-Fruit
12,Ian Hansen,Thailand,1640,Boisterous Throwback,Baja,Fried-Silk-Worm,Kala Jora,Flag,Shirako
94,Cian Winters,Palau,1656,All In World,Shirts,Murgh-Pulao,Time For Endless Adventures,Foam-Hand,Kofta-Kabab
105,Kacper Villa,Saint Vincent & the Grenadines,1712,Kala Jora,Foam-Hand,Dragon-Fruit,Time For Endless Adventures,Flag,Dragon-Fruit
215,Lennox Harvey,Mauritius,1732,The Time Has Come Again For Disco,Baja,Fried-Silk-Worm,Tum Jeeto Ya Haro,View,Murgh-Pulao
23,Jasmin Kaufman,Guinea-Bissau,1812,Time For Endless Adventures,Foam-Hand,Passion-Fruit,Boisterous Throwback,Seats,Kofta-Kabab
96,Scarlett Cortez,Tanzania,1816,Tum Jeeto Ya Haro,Baja,Kofta-Kabab,Boisterous Throwback,Shirts,Dragon-Fruit
84,Sylvia Hall,Thailand,1835,Tum Jeeto Ya Haro,Flag,Biryani,Time For Endless Adventures,Foam-Hand,Kofta-Kabab
75,Brooke Frye,South Sudan,1844,The Time Has Come Again For Disco,Face Painting,Fish,Time For Endless Adventures,Seats,Dragon-Fruit
196,Aidan Bender,Cape Verde,1885,Tum Jeeto Ya Haro,Baja,Fish,Time For Endless Adventures,Shirts,Fish
236,Andy Buchanan,Qatar,1934,All In World,Seats,Biryani,The Time Has Come Again For Disco,Flag,Fried-Silk-Worm
30,Carly Clayton,Panama,1987,Kala Jora,Baja,Fried-Silk-Worm,Stay,Seats,HotDog
130,Leroy Camacho,Croatia,1990,Tum Jeeto Ya Haro,Foam-Hand,Shirako,Kala Jora,Baja,HotDog
68,Ffion Garza,Morocco,2022,Time For Endless Adventures,Baja,Biryani,Boisterous Throwback,Face Painting,Dragon-Fruit
41,Dillon Salinas,Albania,2023,Tum Jeeto Ya Haro,Face Painting,Shirako,The Time Has Come Again For Disco,Shirts,Fried-Silk-Worm
108,Katie Mcleod,Chile,2029,Kala Jora,Baja,Dragon-Fruit,Boisterous Throwback,Baja,HotDog
137,Gareth Perkins,Mexico,2030,Boisterous Throwback,Shirts,Dragon-Fruit,The Time Has Come Again For Disco,Seats,HotDog
241,Whitney Frazier,Venezuela,2036,Boisterous Throwback,Baja,Dragon-Fruit,The Time Has Come Again For Disco,Baja,HotDog
142,Nadia Howard,Syria,2040,Time For Endless Adventures,View,Biryani,Kala Jora,Foam-Hand,Fried-Silk-Worm
164,Esme Collins,Lithuania,2050,Tum Jeeto Ya Haro,Seats,Fish,Stay,Seats,Shirako
24,Diana Simon,Germany,2059,All In World,Foam-Hand,Fish,Tum Jeeto Ya Haro,Baja,Shirako
163,Brian Sweeney,Macedonia,2177,Time For Endless Adventures,Face Painting,Kofta-Kabab,All In World,Face Painting,HotDog
141,Tina Santiago,Greece,2196,Kala Jora,Foam-Hand,Biryani,Time For Endless Adventures,Shirts,Murgh-Pulao
92,Bilal Larsen,Egypt,2214,Stay,Seats,Fish,The Time Has Come Again For Disco,Seats,Kofta-Kabab
207,Pablo Garrett,El Salvador,2253,Boisterous Throwback,View,Dragon-Fruit,Kala Jora,Seats,Kofta-Kabab
76,Frances Galvan,Portugal,2328,Time For Endless Adventures,Foam-Hand,Fish,The Time Has Come Again For Disco,Seats,Biryani
192,Eddie Kent,United States,2357,Boisterous Throwback,Shirts,Shirako,Kala Jora,Foam-Hand,Kofta-Kabab
203,Leanne Serrano,Japan,2423,Stay,Foam-Hand,Shirako,Kala Jora,Foam-Hand,Biryani
