ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
74,Bobby Turner,Philippines,20,Stay,Foam-Hand,Fried-Silk-Worm,Kala Jora,Seats,Kofta-Kabab
551,Miguel Bush,Grenada,31,Tum Jeeto Ya Haro,View,Murgh-Pulao,Kala Jora,Foam-Hand,Fried-Silk-Worm
38,Luc Stuart,Qatar,39,The Time Has Come Again For Disco,View,Dragon-Fruit,Stay,View,Fish
88,Zachery Sanchez,Serbia,40,Kala Jora,Face Painting,Murgh-Pulao,Tum Jeeto Ya Haro,View,Shirako
621,Zachariah Baxter,Somalia,48,Tum Jeeto Ya Haro,View,Fried-Silk-Worm,The Time Has Come Again For Disco,View,Fried-Silk-Worm
59,Vinnie Velazquez,Nicaragua,52,The Time Has Come Again For Disco,Flag,HotDog,Time For Endless Adventures,Baja,Murgh-Pulao
41,Nieve Mcneil,Burundi,60,Time For Endless Adventures,Flag,HotDog,All In World,Seats,HotDog
348,Jada Sanchez,Belize,68,Stay,Face Painting,Biryani,Boisterous Throwback,View,Fried-Silk-Worm
61,Autumn Weiss,Bahrain,69,All In World,Seats,HotDog,Stay,Flag,Dragon-Fruit
172,Liliana Pratt,Ivory Coast,73,Boisterous Throwback,Flag,Shirako,The Time Has Come Again For Disco,Baja,Dragon-Fruit
233,Ellen Bennett,Trinidad & Tobago,75,Boisterous Throwback,Face Painting,Fried-Silk-Worm,Kala Jora,Baja,Biryani
345,Lennox Lee,Tanzania,91,Tum Jeeto Ya Haro,View,Kofta-Kabab,The Time Has Come Again For Disco,Seats,Biryani
300,Jamie Mcgee,Taiwan,102,Tum Jeeto Ya Haro,Face Painting,Fish,Time For Endless Adventures,Seats,HotDog
447,Cory Mcleod,Nigeria,109,The Time Has Come Again For Disco,Seats,Passion-Fruit,Kala Jora,Seats,60
707,Soraya Mays,Mozambique,111,Boisterous Throwback,Shirts,Fried-Silk-Worm,Time For Endless Adventures,Foam-Hand,HotDog
555,Caiden Jacobs,Spain,135,Stay,Shirts,Shirako,Boisterous Throwback,View,Fish
474,Gladys Beard,St Kitts & Nevis,139,All In World,View,Passion-Fruit,The Time Has Come Again For Disco,Shirts,Passion-Fruit
572,Lennox Woodard,Swaziland,144,All In World,Seats,Dragon-Fruit,Boisterous Throwback,Foam-Hand,46
679,Oscar Rush,Nauru,157,Tum Jeeto Ya Haro,Shirts,Kofta-Kabab,Kala Jora,Flag,Dragon-Fruit
103,Cade Crane,Iceland,182,The Time Has Come Again For Disco,Baja,Shirako,Time For Endless Adventures,Baja,Murgh-Pulao
223,Khadijah Patel,Denmark,201,The Time Has Come Again For Disco,Flag,Murgh-Pulao,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab
376,Iestyn Meyers,Monaco,212,Kala Jora,Foam-Hand,Fried-Silk-Worm,Tum Jeeto Ya Haro,Flag,Fish
671,Abi Swanson,Kenya,218,The Time Has Come Again For Disco,View,Shirako,Tum Jeeto Ya Haro,Face Painting,Kofta-Kabab
124,Jamil Delgado,Canada,220,Boisterous Throwback,Flag,Murgh-Pulao,Time For Endless Adventures,Foam-Hand,HotDog
350,Lina Hayden,Korea South,227,Boisterous Throwback,View,Fried-Silk-Worm,Tum Jeeto Ya Haro,Foam-Hand,Dragon-Fruit
236,Lance Miranda,St Kitts & Nevis,272,Stay,Seats,Murgh-Pulao,The Time Has Come Again For Disco,Flag,84
295,Wilson Charles,Egypt,274,The Time Has Come Again For Disco,Shirts,HotDog,Tum Jeeto Ya Haro,Face Painting,Passion-Fruit
553,Carlo Fox,Kosovo,278,Time For Endless Adventures,Baja,Biryani,Kala Jora,View,Shirako
464,Lola James,Luxembourg,281,Time For Endless Adventures,Seats,Murgh-Pulao,Kala Jora,Foam-Hand,Fried-Silk-Worm
561,Jim Lane,Albania,285,Tum Jeeto Ya Haro,Foam-Hand,Passion-Fruit,The Time Has Come Again For Disco,Shirts,Murgh-Pulao
690,Elin Pruitt,Sudan,296,All In World,Seats,Biryani,The Time Has Come Again For Disco,Flag,HotDog
692,Ezekiel Daniels,South Sudan,301,Boisterous Throwback,Shirts,Biryani,Tum Jeeto Ya Haro,Flag,HotDog
248,Ela Moses,Eritrea,307,Kala Jora,Seats,Murgh-Pulao,Tum Jeeto Ya Haro,Shirts,HotDog
580,Alison Stephens,Uzbekistan,320,Stay,Baja,Dragon-Fruit,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab
163,Douglas Raymond,Barbados,341,All In World,Face Painting,Passion-Fruit,Time For Endless Adventures,Shirts,Murgh-Pulao
484,Emil Chase,Iraq,342,Stay,Foam-Hand,Passion-Fruit,Kala Jora,Shirts,57
564,Isaac Rasmussen,Rwanda,346,Boisterous Throwback,Face Painting,Dragon-Fruit,Tum Jeeto Ya Haro,Foam-Hand,Biryani
331,Maksymilian Lloyd,Maldives,354,Kala Jora,Baja,Fried-Silk-Worm,All In World,Shirts,HotDog
16,Callan Roach,Syria,371,All In World,Seats,Dragon-Fruit,Stay,Seats,Murgh-Pulao
647,Lorna Schultz,Turkmenistan,381,Tum Jeeto Ya Haro,View,HotDog,Kala Jora,Flag,Fried-Silk-Worm
589,Zoe Dalton,Liechtenstein,382,Boisterous Throwback,Baja,Shirako,Time For Endless Adventures,Face Painting,Fish
101,Madeline Duran,Lebanon,387,Boisterous Throwback,View,Biryani,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao
177,Nikita Cohen,Mozambique,389,The Time Has Come Again For Disco,Face Painting,Biryani,Kala Jora,Shirts,Shirako
583,Zaynab Moss,Antigua & Deps,395,Time For Endless Adventures,View,Kofta-Kabab,The Time Has Come Again For Disco,Flag,Biryani
22,Nataniel Morrow,Malaysia,412,Boisterous Throwback,Flag,Kofta-Kabab,Stay,View,Passion-Fruit
604,Claude Slater,El Salvador,415,The Time Has Come Again For Disco,View,Fish,Tum Jeeto Ya Haro,Face Painting,Dragon-Fruit
21,Saul Vargas,Yemen,431,Kala Jora,Flag,Biryani,Kala Jora,Seats,Kofta-Kabab
482,Leonie Hicks,Sudan,432,Tum Jeeto Ya Haro,Seats,HotDog,Time For Endless Adventures,Foam-Hand,Biryani
648,Otis Knapp,Rwanda,434,Time For Endless Adventures,Flag,Passion-Fruit,Stay,View,Dragon-Fruit
160,Cerys Villarreal,South Africa,439,The Time Has Come Again For Disco,View,Fish,The Time Has Come Again For Disco,Foam-Hand,Biryani
370,Lyla Foley,China,442,Time For Endless Adventures,Seats,Fried-Silk-Worm,Boisterous Throwback,Flag,Shirako
516,Josh Green,Argentina,447,Stay,Face Painting,Passion-Fruit,Time For Endless Adventures,Shirts,Biryani
147,Sienna Ross,Serbia,451,Kala Jora,View,Murgh-Pulao,Kala Jora,View,Kofta-Kabab
305,Wilson Lam,Norway,458,All In World,Baja,HotDog,Time For Endless Adventures,Flag,Kofta-Kabab
137,Haleema Watkins,Guatemala,459,Kala Jora,Foam-Hand,Murgh-Pulao,Kala Jora,Baja,Dragon-Fruit
691,Peter Bruce,Qatar,462,The Time Has Come Again For Disco,Baja,Passion-Fruit,Kala Jora,Shirts,Murgh-Pulao
354,Amelie Cotton,Indonesia,463,Tum Jeeto Ya Haro,View,Biryani,Stay,Shirts,72
443,Alicia Larsen,Serbia,466,Time For Endless Adventures,Shirts,HotDog,Time For Endless Adventures,Foam-Hand,Kofta-Kabab
458,Eugene Burch,Ukraine,472,Stay,View,Shirako,Time For Endless Adventures,Shirts,HotDog
451,Raees Juarez,Nepal,480,Time For Endless Adventures,Baja,Kofta-Kabab,Stay,Foam-Hand,Passion-Fruit
736,Carmen Warner,Niger,482,Boisterous Throwback,Face Painting,HotDog,Kala Jora,View,Fried-Silk-Worm
570,Roy Dean,Micronesia,483,Time For Endless Adventures,Foam-Hand,Fried-Silk-Worm,Kala Jora,Shirts,Shirako
265,Ray Kane,Thailand,495,All In World,View,HotDog,The Time Has Come Again For Disco,Seats,80
500,Jemima Blevins,Kosovo,498,Stay,Baja,Shirako,Tum Jeeto Ya Haro,Baja,Kofta-Kabab
51,Hasnain Knapp,Central African Rep,510,Kala Jora,Seats,Kofta-Kabab,Kala Jora,Seats,Shirako
563,Allen Pollard,Turkey,517,Boisterous Throwback,Shirts,Biryani,Tum Jeeto Ya Haro,Face Painting,47
39,Orlando Dalton,Rwanda,518,All In World,View,Biryani,Time For Endless Adventures,Shirts,Fish
503,Lilly Grant,Micronesia,519,Boisterous Throwback,Baja,Fried-Silk-Worm,Tum Jeeto Ya Haro,Foam-Hand,Fried-Silk-Worm
742,Julie Hanna,Grenada,530,Time For Endless Adventures,Shirts,Dragon-Fruit,Stay,Baja,Passion-Fruit
374,Tamzin Craig,Chad,531,Tum Jeeto Ya Haro,Flag,HotDog,All In World,Foam-Hand,Dragon-Fruit
462,Ahmad Hendricks,Bolivia,532,Tum Jeeto Ya Haro,Shirts,Passion-Fruit,Tum Jeeto Ya Haro,Face Painting,Biryani
662,Ruairi Landry,Korea South,536,Kala Jora,View,Murgh-Pulao,Tum Jeeto Ya Haro,Flag,Dragon-Fruit
687,Zaina Koch,Eritrea,537,Tum Jeeto Ya Haro,Flag,Kofta-Kabab,Time For Endless Adventures,Baja,Dragon-Fruit
64,Jasper Drake,Indonesia,561,The Time Has Come Again For Disco,Flag,Fish,Stay,Shirts,Dragon-Fruit
455,Sharon Terry,Switzerland,563,Stay,Face Painting,Fried-Silk-Worm,Kala Jora,Baja,Kofta-Kabab
196,Rebekah O'Doherty,Antigua & Deps,565,The Time Has Come Again For Disco,Baja,HotDog,The Time Has Come Again For Disco,Flag,Fried-Silk-Worm
153,Samantha Blake,Czech Republic,589,All In World,View,Fish,Tum Jeeto Ya Haro,Foam-Hand,Dragon-Fruit
577,Aiza Barnett,Swaziland,597,Boisterous Throwback,View,Dragon-Fruit,The Time Has Come Again For Disco,Foam-Hand,46
424,Fraser Hernandez,Vatican City,604,Boisterous Throwback,Baja,Fried-Silk-Worm,The Time Has Come Again For Disco,Foam-Hand,Dragon-Fruit
716,Salman Cruz,South Sudan,612,All In World,Foam-Hand,Dragon-Fruit,All In World,Baja,Passion-Fruit
