ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
91,Kathleen Beltran,Taiwan,79,All In World,Foam-Hand,Murgh-Pulao,Boisterous Throwback,Baja,Kofta-Kabab
231,Zaynab Macdonald,France,88,Stay,Shirts,HotDog,The Time Has Come Again For Disco,Foam-Hand,Shirako
223,Hamish Freeman,Paraguay,114,Tum Jeeto Ya Haro,Shirts,Kofta-Kabab,Tum Jeeto Ya Haro,Baja,Murgh-Pulao
170,Lyla Mack,Laos,227,Boisterous Throwback,Face Painting,Murgh-Pulao,Tum Jeeto Ya Haro,Flag,HotDog
190,Dillan Sherman,Syria,344,All In World,View,Murgh-Pulao,Tum Jeeto Ya Haro,Foam-Hand,Shirako
147,Jodie Riddle,Zambia,355,Stay,Face Painting,Passion-Fruit,The Time Has Come Again For Disco,Shirts,Biryani
105,Kacper Villa,Pakistan,363,All In World,Baja,Passion-Fruit,Boisterous Throwback,Foam-Hand,Fish
125,Teresa Lindsay,Taiwan,368,Stay,View,Shirako,All In World,Foam-Hand,Murgh-Pulao
106,Amber Guerra,Maldives,553,All In World,Face Painting,Shirako,The Time Has Come Again For Disco,Foam-Hand,Fried-Silk-Worm
236,Andy Buchanan,Ecuador,561,The Time Has Come Again For Disco,Foam-Hand,Murgh-Pulao,Tum Jeeto Ya Haro,Flag,Murgh-Pulao
240,Mina Pittman,Burkina,592,Kala Jora,Foam-Hand,Kofta-Kabab,Boisterous Throwback,Seats,Biryani
207,Pablo Garrett,Uruguay,676,Tum Jeeto Ya Haro,Baja,Fried-Silk-Worm,All In World,Seats,Biryani
227,Alyssia Hunt,Bulgaria,783,Kala Jora,Baja,Passion-Fruit,Tum Jeeto Ya Haro,Face Painting,Fried-Silk-Worm
136,Kaitlin Lambert,St Lucia,797,All In World,Seats,Murgh-Pulao,Stay,Face Painting,Dragon-Fruit
219,Mohsin Schwartz,Korea South,829,Boisterous Throwback,Shirts,Shirako,Tum Jeeto Ya Haro,Shirts,Murgh-Pulao
34,Dennis Bradshaw,Zimbabwe,848,Kala Jora,Face Painting,Fish,Time For Endless Adventures,Flag,HotDog
10,Alicia Reilly,Lebanon,870,Stay,Shirts,Shirako,Tum Jeeto Ya Haro,Seats,Fish
139,Josie Khan,Kosovo,916,All In World,Flag,Kofta-Kabab,Stay,View,Fried-Silk-Worm
48,Zane Moss,Marshall Islands,1008,Kala Jora,Seats,HotDog,Time For Endless Adventures,Foam-Hand,Murgh-Pulao
166,Deacon Bolton,Ukraine,1016,Tum Jeeto Ya Haro,Shirts,Fried-Silk-Worm,Time For Endless Adventures,View,Fish
181,Liliana Harrison,Andorra,1038,The Time Has Come Again For Disco,Seats,Fish,Tum Jeeto Ya Haro,Face Painting,Kofta-Kabab
114,Tomos Alexander,Zimbabwe,1043,Kala Jora,Foam-Hand,Fried-Silk-Worm,Stay,View,HotDog
246,Rafe Curry,Vietnam,1127,Boisterous Throwback,Foam-Hand,Fish,Boisterous Throwback,Foam-Hand,Kofta-Kabab
6,Madiha Meadows,Tonga,1139,Boisterous Throwback,Face Painting,Murgh-Pulao,Time For Endless Adventures,Seats,Kofta-Kabab
16,Saarah Daniels,Chad,1229,Kala Jora,View,HotDog,Time For Endless Adventures,Seats,Biryani
78,Fynn Combs,Afghanistan,1305,Stay,Foam-Hand,Kofta-Kabab,Time For Endless Adventures,Seats,Fried-Silk-Worm
128,Xavier Benson,Palestine,1315,Tum Jeeto Ya Haro,Seats,Murgh-Pulao,Time For Endless Adventures,Baja,Fish
211,Aiza Daniel,Algeria,1332,All In World,Flag,Passion-Fruit,Tum Jeeto Ya Haro,Baja,Passion-Fruit
164,Esme Collins,Greece,1352,Kala Jora,Face Painting,Dragon-Fruit,Stay,Baja,Murgh-Pulao
121,Alyssa Reed,Tonga,1475,Kala Jora,Flag,Kofta-Kabab,Tum Jeeto Ya Haro,Face Painting,Fried-Silk-Worm
213,Ray Davies,Kosovo,1481,Stay,Face Painting,Passion-Fruit,The Time Has Come Again For Disco,Seats,Dragon-Fruit
226,Gabriel Gillespie,Panama,1498,Tum Jeeto Ya Haro,Face Painting,Passion-Fruit,Time For Endless Adventures,Face Painting,Dragon-Fruit
70,Tomos Nash,Sao Tome & Principe,1529,The Time Has Come Again For Disco,Baja,Kofta-Kabab,Kala Jora,Seats,Passion-Fruit
217,Gail Oliver,Cuba,1559,All In World,Flag,HotDog,Kala Jora,Flag,Shirako
