ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
492,Paige Deleon,Kuwait,0,Kala Jora,Flag,Fried-Silk-Worm,Time For Endless Adventures,Shirts,Passion-Fruit
170,Angel Leach,Vietnam,1,Boisterous Throwback,View,Biryani,Tum Jeeto Ya Haro,View,Biryani
20,Jonty Hayes,Luxembourg,15,Tum Jeeto Ya Haro,Shirts,Biryani,Tum Jeeto Ya Haro,Baja,Fried-Silk-Worm
127,Mia Hudson,Tanzania,19,All In World,Seats,Murgh-Pulao,Tum Jeeto Ya Haro,View,Passion-Fruit
502,Frederic Briggs,Cape Verde,24,All In World,Shirts,Shirako,The Time Has Come Again For Disco,Baja,Shirako
750,Bailey Lee,Azerbaijan,36,Boisterous Throwback,View,Dragon-Fruit,Stay,Face Painting,Fish
360,Janet Wilkins,Bolivia,43,All In World,Flag,Shirako,Kala Jora,Face Painting,Kofta-Kabab
692,Ezekiel Daniels,Guatemala,63,Tum Jeeto Ya Haro,Shirts,HotDog,Kala Jora,Flag,Passion-Fruit
609,Cora Macias,Iran,65,Stay,Flag,HotDog,Tum Jeeto Ya Haro,View,Shirako
94,Kaden Stafford,Cuba,72,Kala Jora,Shirts,Fish,Kala Jora,Foam-Hand,Fish
387,Moshe Michael,Iran,80,Time For Endless Adventures,Seats,Dragon-Fruit,Boisterous Throwback,Baja,Passion-Fruit
220,Iwan Warren,United Kingdom,83,Boisterous Throwback,Face Painting,Murgh-Pulao,All In World,Flag,Biryani
51,Hasnain Knapp,Saudi Arabia,86,All In World,Flag,HotDog,All In World,Baja,Shirako
116,Abu Hewitt,Suriname,95,Kala Jora,Seats,Dragon-Fruit,Tum Jeeto Ya Haro,Baja,Dragon-Fruit
722,Jasper Keith,Sierra Leone,107,Tum Jeeto Ya Haro,Seats,Fish,Time For Endless Adventures,Shirts,Kofta-Kabab
739,Edgar Rush,Central African Rep,113,The Time Has Come Again For Disco,Flag,HotDog,Kala Jora,Baja,Murgh-Pulao
199,Malachy Ballard,Liechtenstein,119,All In World,Seats,Murgh-Pulao,Time For Endless Adventures,Baja,Kofta-Kabab
215,Doris Reilly,Lithuania,135,Time For Endless Adventures,Foam-Hand,Kofta-Kabab,Kala Jora,Baja,Kofta-Kabab
133,Alexandre Macdonald,Ukraine,144,All In World,Flag,Dragon-Fruit,Time For Endless Adventures,Foam-Hand,Fried-Silk-Worm
667,Mikey Meza,Portugal,147,Time For Endless Adventures,Face Painting,HotDog,The Time Has Come Again For Disco,Shirts,Murgh-Pulao
621,Zachariah Baxter,Congo,157,Time For Endless Adventures,View,Fried-Silk-Worm,Kala Jora,View,Murgh-Pulao
152,Lauren Vaughn,Grenada,190,Kala Jora,Seats,Biryani,All In World,Baja,Biryani
60,Issac Charles,Russian Federation,196,All In World,Face Painting,Fish,The Time Has Come Again For Disco,View,Fried-Silk-Worm
