ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
1309,Xanthe Bass,Ireland {Republic},0,Tum Jeeto Ya Haro,Shirts,Dragon-Fruit,Tum Jeeto Ya Haro,Baja,Fish
1219,Mina Cox,Paraguay,1,Boisterous Throwback,Face Painting,Shirako,Boisterous Throwback,Seats,Shirako
341,Hayley Bridges,Belgium,2,All In World,Foam-Hand,Fish,Boisterous Throwback,Seats,Fried-Silk-Worm
686,Kirsten O'Sullivan,Ethiopia,3,All In World,View,Biryani,Boisterous Throwback,Baja,Kofta-Kabab
1285,Stanley Day,Panama,4,Boisterous Throwback,Shirts,HotDog,All In World,Flag,Fried-Silk-Worm
1366,Sanaa Reilly,Morocco,5,The Time Has Come Again For Disco,View,Shirako,All In World,Baja,Biryani
1180,Roisin Krueger,Brunei,6,The Time Has Come Again For Disco,Face Painting,Murgh-Pulao,Kala Jora,Flag,Passion-Fruit
727,Angus Melton,St Lucia,7,Tum Jeeto Ya Haro,Seats,Fish,Stay,Flag,Biryani
907,Keith Boone,Gambia,10,Kala Jora,Seats,Fried-Silk-Worm,Time For Endless Adventures,Flag,Fried-Silk-Worm
1476,Reggie Grant,Taiwan,11,Tum Jeeto Ya Haro,Seats,Fish,Stay,Flag,Fish
1071,Ahmed Brewer,Ivory Coast,12,All In World,View,Shirako,Kala Jora,Flag,Kofta-Kabab
667,Tomas Adams,Jamaica,14,The Time Has Come Again For Disco,Seats,Murgh-Pulao,Kala Jora,Foam-Hand,Passion-Fruit
954,Nikita Murphy,Sweden,15,Stay,Baja,Fried-Silk-Worm,Kala Jora,Baja,Fried-Silk-Worm
1388,Aminah Matthews,Netherlands,16,The Time Has Come Again For Disco,View,Passion-Fruit,Tum Jeeto Ya Haro,Shirts,Fried-Silk-Worm
1418,Christopher Cantu,San Marino,17,The Time Has Come Again For Disco,Baja,Fried-Silk-Worm,Stay,Seats,Fried-Silk-Worm
904,Mya Cuevas,Ecuador,19,Kala Jora,Foam-Hand,Dragon-Fruit,The Time Has Come Again For Disco,View,Shirako
1083,Richie Nichols,Romania,20,Time For Endless Adventures,Face Painting,Kofta-Kabab,Time For Endless Adventures,Baja,Shirako
533,Harri Hardy,Japan,21,Kala Jora,Baja,Dragon-Fruit,Kala Jora,Face Painting,Fish
1246,Aron Acevedo,Mauritius,22,Boisterous Throwback,Face Painting,Biryani,Kala Jora,Seats,Fried-Silk-Worm
1343,Kieron Williams,Seychelles,23,Tum Jeeto Ya Haro,Foam-Hand,Murgh-Pulao,Kala Jora,Flag,Fried-Silk-Worm
1330,Clifford Shannon,Kiribati,24,All In World,View,HotDog,Time For Endless Adventures,Shirts,Shirako
965,Gerard Hudson,Vatican City,26,All In World,Shirts,Shirako,All In World,Foam-Hand,Fried-Silk-Worm
607,Dan Bullock,Singapore,27,The Time Has Come Again For Disco,Baja,Biryani,The Time Has Come Again For Disco,Foam-Hand,Fish
1046,Juliet Hopkins,Congo,29,All In World,Shirts,Murgh-Pulao,Boisterous Throwback,Shirts,Shirako
853,Dante Whitney,India,30,Stay,Foam-Hand,Kofta-Kabab,All In World,View,Fried-Silk-Worm
1270,Keelan Thornton,Andorra,31,Kala Jora,Seats,Fried-Silk-Worm,Boisterous Throwback,Face Painting,Fried-Silk-Worm
871,May Hull,Lebanon,32,Tum Jeeto Ya Haro,Baja,HotDog,Boisterous Throwback,Shirts,Murgh-Pulao
675,Jose Roberson,Oman,34,Kala Jora,Shirts,HotDog,Tum Jeeto Ya Haro,View,Biryani
801,Zahraa Ramos,Belarus,35,Kala Jora,Seats,Biryani,Stay,Flag,Biryani
709,Teddy Galvan,Oman,36,Time For Endless Adventures,Shirts,Fish,Time For Endless Adventures,Foam-Hand,Biryani
819,Isaac Mercado,Tunisia,37,Stay,Shirts,HotDog,Stay,View,Passion-Fruit
603,Effie Archer,Sao Tome & Principe,38,All In World,Seats,Dragon-Fruit,Time For Endless Adventures,Seats,Fish
1268,Jane Holloway,Mali,39,Boisterous Throwback,View,Biryani,Boisterous Throwback,View,Dragon-Fruit
41,Cade Espinoza,Zambia,40,Tum Jeeto Ya Haro,Face Painting,Fried-Silk-Worm,Tum Jeeto Ya Haro,Shirts,Murgh-Pulao
1121,Owain Blackburn,Papua New Guinea,41,All In World,Seats,Kofta-Kabab,Boisterous Throwback,Flag,Dragon-Fruit
337,William Erickson,Pakistan,42,Boisterous Throwback,Flag,Biryani,Time For Endless Adventures,Seats,Passion-Fruit
1185,Lilly-Rose Woodard,Peru,43,Stay,Face Painting,Fried-Silk-Worm,The Time Has Come Again For Disco,Foam-Hand,HotDog
181,Byron Pearce,Yemen,44,The Time Has Come Again For Disco,Seats,HotDog,All In World,Baja,Fish
475,Serena Shannon,Bangladesh,45,Tum Jeeto Ya Haro,Seats,Kofta-Kabab,Stay,Seats,Shirako
1220,Nellie Bernard,Gambia,46,Boisterous Throwback,Face Painting,Murgh-Pulao,The Time Has Come Again For Disco,Shirts,Fish
481,Rodney Burnett,Iceland,47,Tum Jeeto Ya Haro,Baja,Dragon-Fruit,Kala Jora,Seats,Passion-Fruit
429,Lyndon Vincent,Guinea-Bissau,48,Kala Jora,View,Passion-Fruit,All In World,Seats,Biryani
402,Raymond Robinson,Dominican Republic,49,Boisterous Throwback,Foam-Hand,HotDog,Boisterous Throwback,Seats,Passion-Fruit
798,Elias Bender,Switzerland,50,Kala Jora,Foam-Hand,Murgh-Pulao,Time For Endless Adventures,Face Painting,HotDog
1136,Raphael Peters,Slovakia,53,Stay,Face Painting,Dragon-Fruit,Stay,Face Painting,Kofta-Kabab
220,Eleanor Barnett,Ecuador,54,The Time Has Come Again For Disco,Seats,Passion-Fruit,Kala Jora,View,Murgh-Pulao
377,Monty Mata,Iceland,55,Tum Jeeto Ya Haro,Baja,HotDog,Stay,Shirts,Passion-Fruit
459,Mariah Pearce,Romania,57,Boisterous Throwback,Baja,Biryani,Tum Jeeto Ya Haro,View,Kofta-Kabab
733,Craig Vazquez,Poland,60,All In World,Foam-Hand,Kofta-Kabab,Kala Jora,Baja,Fried-Silk-Worm
1286,Rosemary Pope,Qatar,61,Boisterous Throwback,Baja,Biryani,Tum Jeeto Ya Haro,Flag,Murgh-Pulao
1250,Iwan Oneill,Maldives,62,Time For Endless Adventures,Foam-Hand,Murgh-Pulao,Stay,Flag,Kofta-Kabab
1070,Clayton Flynn,Kenya,63,Time For Endless Adventures,View,Biryani,Kala Jora,View,Dragon-Fruit
1493,Brodie Oneal,Bosnia Herzegovina,64,All In World,Foam-Hand,Shirako,Kala Jora,View,Passion-Fruit
750,Stephanie Frazier,Niger,65,The Time Has Come Again For Disco,Flag,Murgh-Pulao,All In World,Baja,Shirako
785,Raymond Baird,Antigua & Deps,66,All In World,Flag,Shirako,Tum Jeeto Ya Haro,Baja,HotDog
486,Connie Medina,Switzerland,67,Time For Endless Adventures,Seats,Fried-Silk-Worm,Boisterous Throwback,Foam-Hand,Kofta-Kabab
1269,Kirsten Rodriguez,Germany,68,All In World,Flag,Murgh-Pulao,Boisterous Throwback,Face Painting,Passion-Fruit
957,Anoushka Velasquez,Costa Rica,70,Boisterous Throwback,Shirts,Shirako,Tum Jeeto Ya Haro,Flag,Passion-Fruit
795,Katie Benson,Central African Rep,71,Kala Jora,View,Biryani,Boisterous Throwback,Seats,Passion-Fruit
888,Keyaan Hewitt,Togo,79,The Time Has Come Again For Disco,Foam-Hand,Kofta-Kabab,Stay,View,Murgh-Pulao
1009,Chelsey Moran,Singapore,81,Kala Jora,Baja,Passion-Fruit,Stay,Flag,HotDog
340,Darren Bell,Ivory Coast,82,All In World,Face Painting,Passion-Fruit,Boisterous Throwback,Flag,Biryani
1237,Kevin Ellis,Azerbaijan,83,Kala Jora,Face Painting,Fish,Time For Endless Adventures,Foam-Hand,Murgh-Pulao
1490,Aleena Salazar,Nepal,84,Stay,Seats,Kofta-Kabab,Time For Endless Adventures,Seats,Kofta-Kabab
1065,Clementine Blevins,Dominica,85,The Time Has Come Again For Disco,Shirts,Passion-Fruit,Tum Jeeto Ya Haro,Face Painting,Murgh-Pulao
416,Syeda Shields,Slovakia,86,Boisterous Throwback,View,Biryani,Boisterous Throwback,Flag,Shirako
685,Shannon Hayden,Ireland {Republic},87,Kala Jora,Seats,Shirako,Time For Endless Adventures,View,Fish
1393,Samira Bonilla,Mozambique,88,Boisterous Throwback,Shirts,Kofta-Kabab,The Time Has Come Again For Disco,View,Fish
1197,Rohan Gibbons,Congo {Democratic Rep},89,Boisterous Throwback,Face Painting,Fried-Silk-Worm,The Time Has Come Again For Disco,Flag,Fish
357,Greta Buck,Sri Lanka,91,All In World,Shirts,Fried-Silk-Worm,Time For Endless Adventures,Flag,Dragon-Fruit
219,Elisabeth Barr,St Kitts & Nevis,92,The Time Has Come Again For Disco,Foam-Hand,Fish,Kala Jora,Flag,Biryani
864,Mackenzie Atkins,Finland,93,Stay,Face Painting,Fried-Silk-Worm,Kala Jora,Shirts,Kofta-Kabab
1252,Edie Decker,Lithuania,94,Stay,Flag,Fish,Kala Jora,View,Shirako
316,Clarence Torres,Macedonia,95,Time For Endless Adventures,Shirts,Fried-Silk-Worm,All In World,Flag,Kofta-Kabab
546,Phillip Ramsey,Guatemala,96,Kala Jora,Shirts,Murgh-Pulao,Stay,Shirts,Fish
1028,Rhys Hogan,United Arab Emirates,97,All In World,Baja,Passion-Fruit,Time For Endless Adventures,Face Painting,Dragon-Fruit
1271,Bridie Reed,Moldova,99,Kala Jora,Face Painting,Shirako,Kala Jora,Foam-Hand,Biryani
1077,Casey Park,Argentina,100,Boisterous Throwback,Baja,Fish,Time For Endless Adventures,Face Painting,Fish
1436,Isha White,Monaco,101,Stay,Shirts,HotDog,All In World,Flag,HotDog
583,Adelaide Blankenship,Cyprus,104,Kala Jora,Flag,Biryani,The Time Has Come Again For Disco,Flag,Biryani
1486,Jasmin Wells,Philippines,105,Stay,Face Painting,Kofta-Kabab,Kala Jora,Face Painting,HotDog
1478,Bertie Villanueva,Rwanda,106,Boisterous Throwback,Foam-Hand,Passion-Fruit,The Time Has Come Again For Disco,Baja,Murgh-Pulao
