ID#,Name,Country,Money Spent,Favourite Song,Favourite Item,Favourite Food,Worst Song,Worst Item,Worst Food
96,Scarlett Cortez,Qatar,2,The Time Has Come Again For Disco,Face Painting,Murgh-Pulao,All In World,Baja,Passion-Fruit
158,Katelyn Paul,Czech Republic,12,Time For Endless Adventures,Face Painting,Dragon-Fruit,Boisterous Throwback,Flag,Murgh-Pulao
222,Alessia Hale,Italy,31,Tum Jeeto Ya Haro,Shirts,Dragon-Fruit,Stay,Shirts,Fried-Silk-Worm
82,Kallum Mcgrath,Brunei,54,The Time Has Come Again For Disco,Seats,Shirako,All In World,View,Fish
128,Xavier Benson,Nepal,60,Kala Jora,Face Painting,Passion-Fruit,Tum Jeeto Ya Haro,View,Kofta-Kabab
71,Sid Shaw,Pakistan,86,Kala Jora,Seats,HotDog,Stay,Shirts,Murgh-Pulao
243,Wayne Craig,Slovenia,167,Boisterous Throwback,Shirts,Biryani,Tum Jeeto Ya Haro,Shirts,Passion-Fruit
244,Lorenzo Macias,Italy,271,Kala Jora,Shirts,Passion-Fruit,Tum Jeeto Ya Haro,Shirts,Kofta-Kabab
9,Mohammed Bishop,Bahamas,279,Kala Jora,Face Painting,Dragon-Fruit,Tum Jeeto Ya Haro,Seats,Fish
14,Mahnoor Church,Bulgaria,283,Time For Endless Adventures,View,Dragon-Fruit,All In World,Foam-Hand,Shirako
31,Fraser Mata,Nauru,284,Boisterous Throwback,View,Fish,The Time Has Come Again For Disco,Face Painting,HotDog
159,Nikita Gray,Syria,371,Kala Jora,Foam-Hand,Fish,Kala Jora,Seats,Fish
166,Deacon Bolton,Austria,443,Tum Jeeto Ya Haro,Shirts,Kofta-Kabab,Boisterous Throwback,Foam-Hand,Fried-Silk-Worm
108,Katie Mcleod,Ukraine,456,Stay,Shirts,Passion-Fruit,The Time Has Come Again For Disco,Flag,Fish
104,Rishi Munoz,Micronesia,504,Stay,Shirts,Fish,Boisterous Throwback,Face Painting,HotDog
208,Madeleine Bruce,Fiji,529,Tum Jeeto Ya Haro,Flag,Kofta-Kabab,Kala Jora,Baja,Fish
203,Leanne Serrano,Sri Lanka,556,Boisterous Throwback,View,Dragon-Fruit,The Time Has Come Again For Disco,Seats,Fish
142,Nadia Howard,Malaysia,578,All In World,Shirts,Passion-Fruit,Tum Jeeto Ya Haro,Shirts,Shirako
141,Tina Santiago,Mozambique,624,The Time Has Come Again For Disco,Foam-Hand,HotDog,Stay,Baja,Kofta-Kabab
118,Samantha Rush,Congo {Democratic Rep},630,Kala Jora,Baja,Murgh-Pulao,The Time Has Come Again For Disco,Flag,Murgh-Pulao
87,Shannon Dickson,Bosnia Herzegovina,634,Time For Endless Adventures,View,Passion-Fruit,Stay,Foam-Hand,Dragon-Fruit
162,Norman Nelson,Moldova,652,Boisterous Throwback,View,Passion-Fruit,Boisterous Throwback,View,Passion-Fruit
139,Josie Khan,Mexico,679,Boisterous Throwback,Seats,Fried-Silk-Worm,Tum Jeeto Ya Haro,Flag,Murgh-Pulao
226,Gabriel Gillespie,El Salvador,710,Tum Jeeto Ya Haro,Seats,Dragon-Fruit,Stay,View,Fish
39,Ariana Sheppard,Bahrain,724,Stay,Face Painting,Fish,Boisterous Throwback,View,Shirako
99,Joshua Willis,Uganda,729,Tum Jeeto Ya Haro,View,Fried-Silk-Worm,All In World,Seats,Dragon-Fruit
29,Luke Brewer,Turkmenistan,731,Stay,Face Painting,Dragon-Fruit,Kala Jora,Seats,Biryani
202,Aaron Ball,Tuvalu,736,Time For Endless Adventures,Flag,Passion-Fruit,All In World,Face Painting,Murgh-Pulao
74,Fahad Key,Belarus,753,All In World,Baja,HotDog,Boisterous Throwback,Face Painting,HotDog
94,Cian Winters,Cameroon,776,Tum Jeeto Ya Haro,View,Kofta-Kabab,Stay,Foam-Hand,Shirako
192,Eddie Kent,Barbados,884,Time For Endless Adventures,Flag,Shirako,Boisterous Throwback,Baja,HotDog
211,Aiza Daniel,Angola,890,Stay,Face Painting,Fried-Silk-Worm,Kala Jora,Foam-Hand,Kofta-Kabab
132,Marwa Pitts,Montenegro,921,Kala Jora,Seats,Fried-Silk-Worm,The Time Has Come Again For Disco,Flag,Shirako
62,Mari Salas,Libya,935,Tum Jeeto Ya Haro,Flag,HotDog,Boisterous Throwback,Seats,Biryani
19,Tamara Tate,Mauritania,1025,The Time Has Come Again For Disco,View,Fish,Boisterous Throwback,Foam-Hand,Shirako
129,Filip Thompson,Haiti,1072,Kala Jora,Seats,Biryani,Tum Jeeto Ya Haro,Foam-Hand,Fried-Silk-Worm
127,Gary Lynch,Malaysia,1158,Kala Jora,Baja,Fried-Silk-Worm,Stay,Flag,Passion-Fruit
236,Andy Buchanan,Guyana,1185,Tum Jeeto Ya Haro,Foam-Hand,Biryani,Boisterous Throwback,View,Dragon-Fruit
218,Riya Davidson,Botswana,1299,Kala Jora,View,Biryani,The Time Has Come Again For Disco,Shirts,Kofta-Kabab
64,Jacques Carver,Albania,1345,All In World,Shirts,Dragon-Fruit,Kala Jora,View,Shirako
32,Maggie Waters,Kuwait,1349,All In World,View,Kofta-Kabab,All In World,Baja,Passion-Fruit
173,Elsa Ayers,Serbia,1483,Tum Jeeto Ya Haro,Flag,Dragon-Fruit,Time For Endless Adventures,Baja,Dragon-Fruit
83,Carys Walker,Bhutan,1503,Kala Jora,View,Fried-Silk-Worm,Time For Endless Adventures,Baja,Passion-Fruit
151,Grayson Sawyer,Russian Federation,1617,Stay,Flag,Biryani,Kala Jora,Shirts,Fried-Silk-Worm
60,Maariyah Savage,Mali,1721,The Time Has Come Again For Disco,Foam-Hand,Murgh-Pulao,Time For Endless Adventures,Shirts,Kofta-Kabab
81,Lorraine Lindsay,Malta,1734,Stay,Shirts,Kofta-Kabab,Stay,Seats,Kofta-Kabab
72,Ines Meyers,Yemen,1753,Time For Endless Adventures,View,HotDog,Time For Endless Adventures,Foam-Hand,HotDog
111,Camilla Mcintosh,South Sudan,1859,All In World,View,Fried-Silk-Worm,Tum Jeeto Ya Haro,Seats,Shirako
206,Haroon Leon,Oman,1937,Tum Jeeto Ya Haro,Baja,Fried-Silk-Worm,Kala Jora,View,Fried-Silk-Worm
125,Teresa Lindsay,Suriname,2038,Stay,View,Biryani,All In World,Baja,Dragon-Fruit
216,Niamh Jimenez,Kiribati,2128,Tum Jeeto Ya Haro,Baja,Murgh-Pulao,Boisterous Throwback,Face Painting,Kofta-Kabab
59,Andrew Ponce,Qatar,2167,All In World,Baja,Shirako,Tum Jeeto Ya Haro,Foam-Hand,Biryani
230,Lochlan Rowland,Mozambique,2401,Boisterous Throwback,Shirts,Shirako,Tum Jeeto Ya Haro,Face Painting,Dragon-Fruit
248,Christian O'Connor,Trinidad & Tobago,2458,The Time Has Come Again For Disco,Shirts,Dragon-Fruit,Stay,Foam-Hand,HotDog
113,Bilal Dennis,Ghana,2484,The Time Has Come Again For Disco,View,Fish,Time For Endless Adventures,Seats,Fried-Silk-Worm
225,Kajus Harding,Uruguay,2667,Stay,Foam-Hand,Fish,Time For Endless Adventures,Baja,Fried-Silk-Worm
78,Fynn Combs,Kiribati,2671,Kala Jora,Shirts,Fish,Tum Jeeto Ya Haro,View,Passion-Fruit
181,Liliana Harrison,Djibouti,2733,The Time Has Come Again For Disco,Face Painting,HotDog,Boisterous Throwback,Foam-Hand,Fried-Silk-Worm
49,Glenn Dominguez,Tuvalu,2736,All In World,Shirts,Dragon-Fruit,Kala Jora,View,HotDog
205,Ty Burnett,Maldives,2749,All In World,Shirts,Passion-Fruit,Kala Jora,Foam-Hand,Fried-Silk-Worm
163,Brian Sweeney,Slovakia,2756,Time For Endless Adventures,Shirts,Fried-Silk-Worm,Time For Endless Adventures,Baja,Shirako
184,Beau Mccormick,Peru,2800,The Time Has Come Again For Disco,Seats,Fish,Stay,View,Passion-Fruit
44,Declan Lang,Ghana,2803,Kala Jora,Baja,Kofta-Kabab,Tum Jeeto Ya Haro,View,Biryani
143,Yasmin Connor,Montenegro,2822,Boisterous Throwback,Seats,Dragon-Fruit,Kala Jora,View,Biryani
122,Stuart Krueger,Cameroon,2842,Stay,Foam-Hand,Shirako,Boisterous Throwback,Face Painting,Passion-Fruit
167,Clark Church,Sudan,2849,Time For Endless Adventures,Foam-Hand,Shirako,All In World,View,Passion-Fruit
68,Ffion Garza,Micronesia,2873,Kala Jora,Face Painting,Fried-Silk-Worm,Stay,View,Passion-Fruit
227,Alyssia Hunt,Panama,2882,The Time Has Come Again For Disco,Flag,HotDog,Tum Jeeto Ya Haro,Shirts,Biryani
8,Robert Buck,Solomon Islands,2904,Kala Jora,Baja,Fish,Stay,Face Painting,Dragon-Fruit
55,Cecily Leon,Saint Vincent & the Grenadines,2906,Kala Jora,Seats,Murgh-Pulao,Tum Jeeto Ya Haro,Baja,Passion-Fruit
88,Eden Lindsey,Belgium,3006,All In World,Seats,HotDog,Boisterous Throwback,Face Painting,Passion-Fruit
150,Joao Vincent,Estonia,3047,The Time Has Come Again For Disco,Baja,Biryani,Stay,View,Fish
53,Lyla Andrews,Uruguay,3136,Tum Jeeto Ya Haro,Flag,Shirako,All In World,Flag,Fried-Silk-Worm
85,Sienna Mcbride,Togo,3191,Kala Jora,Baja,Murgh-Pulao,The Time Has Come Again For Disco,View,Murgh-Pulao
105,Kacper Villa,Kuwait,3433,Stay,Seats,Murgh-Pulao,Tum Jeeto Ya Haro,Foam-Hand,Biryani
136,Kaitlin Lambert,Mauritania,3525,All In World,View,HotDog,Stay,Face Painting,Fish
56,Ismaeel Ryan,Georgia,3548,Stay,Face Painting,Fried-Silk-Worm,Tum Jeeto Ya Haro,Foam-Hand,Passion-Fruit
183,Rohan Carr,United Kingdom,3561,The Time Has Come Again For Disco,Baja,Fish,Stay,Flag,HotDog
219,Mohsin Schwartz,Papua New Guinea,3595,Time For Endless Adventures,Baja,Passion-Fruit,Kala Jora,View,Biryani
48,Zane Moss,Belgium,3624,Tum Jeeto Ya Haro,Baja,Murgh-Pulao,The Time Has Come Again For Disco,Face Painting,Kofta-Kabab
54,Layton Gilmore,Congo,3637,Boisterous Throwback,View,Passion-Fruit,The Time Has Come Again For Disco,Face Painting,Biryani
57,Mahir Romero,Palau,3640,Tum Jeeto Ya Haro,Flag,Fried-Silk-Worm,Tum Jeeto Ya Haro,Foam-Hand,Fried-Silk-Worm
155,Michaela Hicks,Bhutan,3651,Boisterous Throwback,Shirts,Kofta-Kabab,Stay,Flag,Biryani
70,Tomos Nash,Zambia,3655,Boisterous Throwback,Seats,Dragon-Fruit,Tum Jeeto Ya Haro,Foam-Hand,Shirako
197,Katrina Fulton,Denmark,3737,Time For Endless Adventures,Seats,HotDog,All In World,View,Fish
33,Martin May,Guyana,3752,Kala Jora,View,Fish,Stay,Baja,Fish
89,Katy Sullivan,Iran,3826,The Time Has Come Again For Disco,Seats,Dragon-Fruit,Time For Endless Adventures,Face Painting,Fried-Silk-Worm
207,Pablo Garrett,Papua New Guinea,3937,Boisterous Throwback,Foam-Hand,Passion-Fruit,All In World,Flag,Shirako
102,Grace Barry,Honduras,3970,Time For Endless Adventures,Baja,Fish,Kala Jora,Flag,Kofta-Kabab
189,Samara Nixon,Gabon,4012,Stay,View,HotDog,Stay,Shirts,Murgh-Pulao
25,Osman Pittman,Guinea-Bissau,4101,Tum Jeeto Ya Haro,Baja,Fish,Tum Jeeto Ya Haro,Shirts,Biryani
119,Jasmin Mcdaniel,Ethiopia,4144,The Time Has Come Again For Disco,Flag,Dragon-Fruit,Stay,Baja,HotDog
95,Dylan Salazar,Sierra Leone,4207,Tum Jeeto Ya Haro,Face Painting,HotDog,Tum Jeeto Ya Haro,Face Painting,Fish
114,Tomos Alexander,Vietnam,4237,All In World,Baja,Fish,Tum Jeeto Ya Haro,View,Dragon-Fruit
214,Lillian Krueger,Tanzania,4240,Time For Endless Adventures,Face Painting,Shirako,The Time Has Come Again For Disco,Shirts,Kofta-Kabab
21,Safa Hatfield,Ghana,4252,Kala Jora,Seats,Fried-Silk-Worm,Time For Endless Adventures,Face Painting,Dragon-Fruit
117,Frankie Montes,Venezuela,4431,The Time Has Come Again For Disco,View,Biryani,All In World,Flag,Dragon-Fruit
157,Sachin Schultz,Zimbabwe,4444,Boisterous Throwback,Baja,Murgh-Pulao,Time For Endless Adventures,Face Painting,Kofta-Kabab
148,Janet House,Brunei,4480,Tum Jeeto Ya Haro,Face Painting,HotDog,Kala Jora,Foam-Hand,Dragon-Fruit
221,Harley Hebert,Sudan,4538,Kala Jora,Shirts,Passion-Fruit,Boisterous Throwback,Seats,Murgh-Pulao
191,Marianne Hernandez,Egypt,4550,Stay,Baja,Biryani,Stay,Foam-Hand,Fried-Silk-Worm
13,Lee Mann,Seychelles,4592,Time For Endless Adventures,Face Painting,HotDog,Tum Jeeto Ya Haro,Flag,Fish
223,Hamish Freeman,United States,4615,All In World,Shirts,Fish,Time For Endless Adventures,Baja,Fish
196,Aidan Bender,Togo,4651,Tum Jeeto Ya Haro,View,Fish,Stay,View,Passion-Fruit
242,Moses Bloggs,Vietnam,4691,All In World,Flag,Shirako,Boisterous Throwback,Shirts,Biryani
124,Francesca Stephenson,Palau,4695,Boisterous Throwback,Flag,HotDog,Tum Jeeto Ya Haro,Shirts,Shirako
178,Mohammed Kelley,Bolivia,4791,Time For Endless Adventures,Shirts,Dragon-Fruit,Tum Jeeto Ya Haro,Face Painting,Passion-Fruit
18,Vera Wang,Cape Verde,4808,Tum Jeeto Ya Haro,Shirts,Shirako,Stay,Baja,Biryani
198,Megan Lawson,South Africa,4821,Stay,Seats,Dragon-Fruit,All In World,Foam-Hand,HotDog
52,Rafe White,Cape Verde,4841,Kala Jora,Shirts,Passion-Fruit,Time For Endless Adventures,Face Painting,Passion-Fruit
7,Ela Gibson,Mauritania,4859,Boisterous Throwback,Shirts,Shirako,All In World,Baja,Kofta-Kabab
215,Lennox Harvey,Zambia,4873,Tum Jeeto Ya Haro,Foam-Hand,Fried-Silk-Worm,Kala Jora,Flag,HotDog
115,Shakira Mclean,Singapore,4932,Time For Endless Adventures,Face Painting,Biryani,Kala Jora,Flag,Shirako
106,Amber Guerra,Singapore,4939,Tum Jeeto Ya Haro,View,Fish,Kala Jora,Foam-Hand,Shirako
126,Roxanne Hoover,Luxembourg,4951,The Time Has Come Again For Disco,Shirts,Dragon-Fruit,The Time Has Come Again For Disco,Foam-Hand,Passion-Fruit
160,Levi Ellis,Tunisia,5030,Boisterous Throwback,View,Passion-Fruit,Tum Jeeto Ya Haro,View,Biryani
135,Blanche Clements,Estonia,5055,All In World,Seats,Murgh-Pulao,All In World,Face Painting,Kofta-Kabab
228,Greta Wade,St Lucia,5093,Boisterous Throwback,View,HotDog,Kala Jora,View,HotDog
186,Tristan Hartman,Maldives,5144,Stay,Flag,Kofta-Kabab,Stay,Flag,Murgh-Pulao
177,Axel Steele,Zimbabwe,5223,Tum Jeeto Ya Haro,Face Painting,HotDog,Stay,Baja,Dragon-Fruit
4,Shanice Petersen,Saudi Arabia,5236,All In World,Face Painting,HotDog,Stay,Foam-Hand,Murgh-Pulao
152,Dennis Nicholson,Suriname,5277,Time For Endless Adventures,Flag,Kofta-Kabab,Kala Jora,Face Painting,Biryani
76,Frances Galvan,Ecuador,5286,The Time Has Come Again For Disco,Baja,Dragon-Fruit,Boisterous Throwback,View,Murgh-Pulao
121,Alyssa Reed,Samoa,5335,Tum Jeeto Ya Haro,View,Biryani,Boisterous Throwback,Baja,Murgh-Pulao
234,Elise Watkins,Iceland,5360,The Time Has Come Again For Disco,Face Painting,Fish,Kala Jora,Face Painting,Dragon-Fruit
231,Zaynab Macdonald,South Sudan,5382,Kala Jora,Baja,Fried-Silk-Worm,Boisterous Throwback,Foam-Hand,Biryani
171,Arnold Snyder,Singapore,5398,Kala Jora,Foam-Hand,Fish,The Time Has Come Again For Disco,Shirts,Shirako
213,Ray Davies,Korea South,5413,Boisterous Throwback,Face Painting,HotDog,Kala Jora,Flag,Dragon-Fruit
130,Leroy Camacho,Slovakia,5448,Tum Jeeto Ya Haro,Flag,Fried-Silk-Worm,Boisterous Throwback,Shirts,Kofta-Kabab
